Sample Number (60 samples per second),Pv (l/m),duty (l/m),loopTime (ms)
501,1.16,-255.0,83.0
502,1.15,-255.0,90.0
503,1.14,-255.0,100.0
504,1.14,-255.0,90.0
505,1.13,-255.0,90.0
506,1.12,-255.0,100.0
507,1.12,-255.0,90.0
508,1.11,-255.0,90.0
509,1.1,-255.0,90.0
510,1.1,-255.0,83.0
511,1.09,-255.0,90.0
512,1.08,-255.0,83.0
513,1.08,-255.0,100.0
514,1.07,-255.0,83.0
515,1.07,-255.0,90.0
516,1.06,-255.0,90.0
517,1.05,-255.0,90.0
518,1.05,-255.0,90.0
519,1.04,-255.0,90.0
520,1.03,-255.0,100.0
521,1.03,-255.0,90.0
522,1.02,-255.0,90.0
523,1.02,-255.0,100.0
524,1.01,-255.0,90.0
525,1.01,-255.0,83.0
526,1.0,-255.0,100.0
527,0.99,-255.0,83.0
528,0.99,-255.0,90.0
529,0.98,-255.0,83.0
530,0.98,-255.0,90.0
531,0.97,-255.0,83.0
532,0.97,-255.0,90.0
533,0.96,-255.0,100.0
534,0.96,-255.0,90.0
535,0.95,-255.0,90.0
536,0.95,-255.0,100.0
537,0.94,-255.0,90.0
538,0.94,-255.0,90.0
539,0.93,-255.0,90.0
540,0.93,-255.0,90.0
541,0.92,-255.0,90.0
542,0.92,-255.0,83.0
543,0.91,-255.0,100.0
544,0.91,-255.0,83.0
545,0.9,-255.0,90.0
546,0.9,-255.0,90.0
547,0.89,-255.0,90.0
548,0.89,-255.0,83.0
549,0.88,-255.0,90.0
550,0.88,-255.0,90.0
551,0.88,-255.0,90.0
552,0.87,-255.0,90.0
553,0.87,-255.0,100.0
554,0.86,-255.0,90.0
555,0.86,-255.0,90.0
556,0.85,-255.0,100.0
557,0.85,-255.0,83.0
558,0.84,-255.0,90.0
559,0.84,-255.0,83.0
560,0.84,-255.0,100.0
561,0.83,-255.0,83.0
562,0.83,-255.0,90.0
563,0.82,-255.0,90.0
564,0.82,-255.0,90.0
565,0.82,-255.0,90.0
566,0.81,-255.0,100.0
567,0.81,-255.0,90.0
568,0.8,-255.0,90.0
569,0.8,-255.0,90.0
570,0.8,-255.0,100.0
571,0.79,-255.0,90.0
572,0.79,-255.0,83.0
573,0.78,-255.0,100.0
574,0.78,-255.0,83.0
575,0.78,-255.0,90.0
576,0.77,-255.0,90.0
577,0.77,-255.0,90.0
578,0.77,-255.0,83.0
579,0.76,-255.0,90.0
580,0.76,-255.0,100.0
