Sample Number (90 samples per second),fluxo (l/m),setPoint (l/m),duty (),Stability (),frequency ()
298,4.51,5.0,255.0,0.0,11.0
299,4.58,5.0,255.0,0.0,11.0
300,4.53,5.0,255.0,0.0,11.0
301,4.59,5.0,255.0,0.0,11.0
302,4.65,5.0,255.0,0.0,10.0
303,4.6,5.0,255.0,0.0,11.0
304,4.67,5.0,255.0,0.0,11.0
305,4.62,5.0,255.0,0.0,10.0
306,4.68,5.0,255.0,0.0,12.0
307,4.74,5.0,255.0,0.0,11.0
308,4.69,5.0,255.0,0.0,12.0
309,4.74,5.0,255.0,0.0,11.0
310,4.69,5.0,255.0,0.0,11.0
311,4.76,5.0,255.0,0.0,11.0
312,4.82,5.0,255.0,0.0,11.0
313,4.77,5.0,255.0,0.0,11.0
314,4.82,5.0,255.0,0.0,11.0
315,4.88,5.0,255.0,0.0,12.0
316,4.83,5.0,255.0,0.0,10.0
317,4.89,5.0,255.0,0.0,11.0
318,4.95,5.0,255.0,0.0,11.0
319,5.01,5.0,255.0,0.0,11.0
320,4.95,5.0,255.0,0.0,11.0
321,5.01,5.0,255.0,0.0,11.0
322,5.07,5.0,255.0,0.0,12.0
323,5.02,5.0,255.0,0.0,11.0
324,5.08,5.0,255.0,0.0,11.0
325,5.13,5.0,255.0,0.0,11.0
326,5.08,5.0,255.0,0.0,11.0
327,5.14,5.0,255.0,0.0,10.0
328,5.19,5.0,255.0,0.0,11.0
329,5.25,5.0,255.0,0.0,12.0
330,5.19,5.0,255.0,0.0,10.0
331,5.24,5.0,255.0,0.0,12.0
332,5.3,5.0,255.0,0.0,11.0
333,5.36,5.0,255.0,0.0,12.0
334,5.3,5.0,255.0,0.0,11.0
335,5.35,5.0,255.0,0.0,11.0
336,5.41,5.0,255.0,0.0,11.0
337,5.46,5.0,255.0,0.0,11.0
338,5.4,5.0,255.0,0.0,11.0
339,5.45,5.0,255.0,0.0,11.0
340,5.5,5.0,255.0,0.0,12.0
341,5.55,5.0,255.0,0.0,10.0
342,5.6,5.0,255.0,0.0,11.0
343,5.54,5.0,255.0,0.0,11.0
344,5.59,5.0,255.0,0.0,10.0
345,5.64,5.0,255.0,0.0,11.0
346,5.69,5.0,255.0,0.0,11.0
347,5.74,5.0,255.0,0.0,12.0
348,5.79,5.0,255.0,0.0,11.0
349,5.84,5.0,255.0,0.0,11.0
350,5.89,5.0,255.0,0.0,11.0
351,5.93,5.0,255.0,0.0,11.0
352,5.98,5.0,255.0,0.0,10.0
353,6.02,5.0,255.0,0.0,11.0
354,6.07,5.0,255.0,0.0,12.0
355,6.12,5.0,255.0,0.0,10.0
356,6.16,5.0,255.0,0.0,12.0
357,6.2,5.0,255.0,0.0,11.0
358,6.25,5.0,255.0,0.0,11.0
359,6.29,5.0,255.0,0.0,11.0
360,6.43,5.0,255.0,0.0,11.0
361,6.48,5.0,255.0,0.0,11.0
362,6.51,5.0,255.0,0.0,11.0
363,6.56,5.0,255.0,0.0,11.0
364,6.7,5.0,255.0,0.0,11.0
